"region" "district" "const" "candidate" "party" "votes" "spltvotes" "perc"
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "JUMA KHAMISI JUMA" "CHAUSTA" 16 158 0.23
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "USSI KHAMISI USSI" "MAKIN" 11 158 0.16
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "BAHA MUHAMED HAJI" "SAU" 11 158 0.16
"KUSINI PEMBA" "CHAKECHAKE" "ZIWANI" "ASHA MUHAMED ALI" "UDP" 10 158 0.15
"KUSINI PEMBA" "MKOANI" "CHAMBANI" "SITI USSI SHAIB" "CHADEMA" 3351 75 76.3
"KUSINI PEMBA" "MKOANI" "CHAMBANI" "MOH'D ABDUL-RAHMAN MWINYI" "CCM" 624 75 14.21
"KUSINI PEMBA" "MKOANI" "CHAMBANI" "MUHAMMED JUMA MUHAMMED" "TLP" 211 75 4.8
"KUSINI PEMBA" "MKOANI" "CHAMBANI" "SALEH NASSOR HILAL" "TADEA" 88 75 2
"KUSINI PEMBA" "MKOANI" "CHAMBANI" "SALIM HEMED KHAMIS" "CUF" 43 75 0.98
"KUSINI PEMBA" "MKOANI" "KIWANI" "ABDALLA HAJI ALI" "CUF" 3240 172 56.92
"KUSINI PEMBA" "MKOANI" "KIWANI" "RASHID ABDALLA RASHID" "CCM" 1545 172 27.14
"KUSINI PEMBA" "MKOANI" "KIWANI" "HASSANI AME KHEIR" "CHADEMA" 668 172 11.74
"KUSINI PEMBA" "MKOANI" "KIWANI" "ALI SALEH ALI" "MAKIN" 67 172 1.18
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "MOHAMED HABIB JUMA MNYAA" "CUF" 3151 130 56.93
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "MNYAA MAKAME MBARAWA" "CCM" 2145 130 38.75
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "IDRISSA OMARI HAJI" "NCCR-MAGEUZI" 44 130 0.79
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "THABIT KOMBO DADI" "NRA" 26 130 0.47
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "ISHAKA RASHID ALI" "TADEA" 21 130 0.38
"KUSINI PEMBA" "MKOANI" "MKANYAGENI" "JUMA KHAMISI JUMA" "UDP" 18 130 0.33
"KUSINI PEMBA" "MKOANI" "MKOANI" "ALI KHAMIS SEIF" "CUF" 3587 117 58.67
"KUSINI PEMBA" "MKOANI" "MKOANI" "ISSA MOHAMED SALIM" "CCM" 2209 117 36.13
"KUSINI PEMBA" "MKOANI" "MKOANI" "MZEE MADI MZEE" "AFP" 108 117 1.77
"KUSINI PEMBA" "MKOANI" "MKOANI" "HINDU ISMAIL ABDALLA" "CHAUSTA" 29 117 0.47
"KUSINI PEMBA" "MKOANI" "MKOANI" "ADAM ALI MOHD" "TADEA" 17 117 0.28
"KUSINI PEMBA" "MKOANI" "MKOANI" "MOHAMMED OMARI HASSANI" "DP" 17 117 0.28
"KUSINI PEMBA" "MKOANI" "MKOANI" "RICHARD JUMA/KHAMIS ALI" "NCCR-MAGEUZI" 15 117 0.25
"KUSINI PEMBA" "MKOANI" "MKOANI" "KIBWANA ABASS MUHAMED" "UDP" 15 117 0.25
"KUSINI PEMBA" "MKOANI" "MTAMBILE" "MASOUD ABDALLA SALIM" "CUF" 4366 175 73.71
"KUSINI PEMBA" "MKOANI" "MTAMBILE" "SHOKA YAKOUB MOH'D SHOKA" "CCM" 1076 175 18.17
"KUSINI PEMBA" "MKOANI" "MTAMBILE" "KOMBO KHATIB KOMBO" "CHADEMA" 217 175 3.66
"KUSINI PEMBA" "MKOANI" "MTAMBILE" "SAID KASSIM SULEMAN" "DP" 89 175 1.5
"KUSINI UNGUJA" "KATI" "CHWAKA" "YAHYA KASSIM ISSA" "CCM" 6103 423 66.16
"KUSINI UNGUJA" "KATI" "CHWAKA" "ALI KHAMIS AME" "CUF" 2225 423 24.12
"KUSINI UNGUJA" "KATI" "CHWAKA" "ALI KHAMISI MOH'D" "CHADEMA" 281 423 3.05
"KUSINI UNGUJA" "KATI" "CHWAKA" "RAMADHANI SOUD MLENGE" "TLP" 98 423 1.06
"KUSINI UNGUJA" "KATI" "CHWAKA" "JAAFAR ABDALLA HASSAN" "TADEA" 95 423 1.03
"KUSINI UNGUJA" "KATI" "KOANI" "AMINA ANDREW CLEMENT" "CCM" 6920 276 61.82
"KUSINI UNGUJA" "KATI" "KOANI" "SHAABAN IDD AME" "CUF" 2958 276 26.42
"KUSINI UNGUJA" "KATI" "KOANI" "RAMADHANI KHAMIS HAJI" "JAHAZI ASILIA" 910 276 8.13
"KUSINI UNGUJA" "KATI" "KOANI" "ISSA AME ISSA" "TADEA" 86 276 0.77
"KUSINI UNGUJA" "KATI" "KOANI" "HASSAN MRISHO MAGOHA" "SAU" 44 276 0.39
"KUSINI UNGUJA" "KATI" "UZINI" "MUHAMMED SEIF KHATIBU" "CCM" 6651 277 81.96
"KUSINI UNGUJA" "KATI" "UZINI" "ALI MBAROUK MSHIMBA" "CHADEMA" 617 277 7.6
"KUSINI UNGUJA" "KATI" "UZINI" "ABDI MOHD ADEYOUM" "CUF" 524 277 6.46
"KUSINI UNGUJA" "KATI" "UZINI" "LUSIANO BENEZENT MAREKANO" "SAU" 46 277 0.57
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI" "SAMIA SULUHU HASSAN" "CCM" 6141 20 80.29
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI" "MUHAMMED KOMBO ALI" "CUF" 1274 20 16.66
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI" "MUSSA HAJI AMAIRI" "NCCR-MAGEUZI" 106 20 1.39
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI" "ASMA ALI HAJI" "MAKIN" 74 20 0.97
"KUSINI UNGUJA" "KUSINI" "MAKUNDUCHI" "FATMA IBRAHIM AMAN" "TADEA" 34 20 0.44
"KUSINI UNGUJA" "KUSINI" "MUYUNI" "MAHADHI JUMA MAALIM" "CCM" 5907 45 80.66
"KUSINI UNGUJA" "KUSINI" "MUYUNI" "VUAI ISSA HAJI" "CUF" 1208 45 16.5
"KUSINI UNGUJA" "KUSINI" "MUYUNI" "ZONGA ISSA MOH'D" "TLP" 102 45 1.39
"KUSINI UNGUJA" "KUSINI" "MUYUNI" "MWENDO ALI ABDALLA" "CHAUSTA" 61 45 0.83
"LINDI" "MJI WA LINDI" "LINDI MJINI" "BARWANY SALUM KHALFAN" "CUF" 13155 507 51.44
"LINDI" "MJI WA LINDI" "LINDI MJINI" "ABDUL-AZIZ MOHAMED ABDI" "CCM" 11445 507 44.75
"LINDI" "MJI WA LINDI" "LINDI MJINI" "SAMSON ALLY NYAGALLY" "CHADEMA" 384 507 1.5
"LINDI" "MJI WA LINDI" "LINDI MJINI" "ALLY MASUDI ISSA" "NLD" 60 507 0.23
"LINDI" "MJI WA LINDI" "LINDI MJINI" "KITENGE HAMISI MOHAMED" "UPDP" 24 507 0.09
"LINDI" "WILAYA YA KILWA" "KILWA KASKAZINI" "MANGUNGU MURTAZA ALLY" "CCM" 13019 547 61.4
"LINDI" "WILAYA YA KILWA" "KILWA KASKAZINI" "MANNORO SAID MUHAMMAD" "CUF" 7637 547 36.02
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI" "BUNGARA SELEMANI SAID" "CUF" 14610 393 49.55
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI" "MADABIDA RAMADHANI RASHIDI" "CCM" 14027 393 47.57
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI" "KOMBO ALLY ABDALLAH" "CHADEMA" 288 393 0.98
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI" "MTUTA RASHIDI HASHIM" "NRA" 89 393 0.3
"LINDI" "WILAYA YA KILWA" "KILWA KUSINI" "JAMILA SHAHAME HASSANI" "NLD" 79 393 0.27
"LINDI" "WILAYA YA LINDI" "MCHINGA" "MTANDA SAIDI MOHAMED" "CCM" 10579 529 56.67
"LINDI" "WILAYA YA LINDI" "MCHINGA" "KATAU AYUB ABDALLAH" "CUF" 7243 529 38.8
"LINDI" "WILAYA YA LINDI" "MCHINGA" "NJECHELANI RASHIDI ABDALLAH" "CHADEMA" 318 529 1.7
"LINDI" "WILAYA YA LINDI" "MTAMA" "BERNARD KAMILLIUS MEMBE" "CCM" 26625 1804 81.76
"LINDI" "WILAYA YA LINDI" "MTAMA" "NDAKA ISAKA WOLFUGANGI" "TLP" 4137 1804 12.7
"LINDI" "WILAYA YA LIWALE" "LIWALE" "MITAMBO FAITH MOHAMEDI" "CCM" 16594 370 58.15
"LINDI" "WILAYA YA LIWALE" "LIWALE" "BEYI MADARAKA RASHIDI" "CUF" 10759 370 37.7
"LINDI" "WILAYA YA LIWALE" "LIWALE" "MWEMBE JUMA MOHAMEDI" "CHADEMA" 704 370 2.47
"LINDI" "WILAYA YA LIWALE" "LIWALE" "BAKARI MOHAMEDI LIHINDI" "NCCR-MAGEUZI" 108 370 0.38
"LINDI" "WILAYA YA NACHINGWEA" "NACHINGWEA" "CHIKAWE MATHIAS MEINRAD" "CCM" 26319 1447 61.23
"LINDI" "WILAYA YA NACHINGWEA" "NACHINGWEA" "CHITANDA ALLY OMARI" "CHADEMA" 7748 1447 18.02
"LINDI" "WILAYA YA NACHINGWEA" "NACHINGWEA" "NANJASE HAJI ADAMU" "CUF" 7473 1447 17.38
"LINDI" "WILAYA YA RUANGWA" "RUANGWA" "MAJALIWA KASSIM MAJALIWA" "CCM" 27671 1221 72.98
"LINDI" "WILAYA YA RUANGWA" "RUANGWA" "ABUBAKARI SAFI KONDO" "CUF" 9024 1221 23.8
"MANYARA" "MJI WA BABATI" "BABATI MJINI" "CHAMBIRI KISYERI WEREMA" "CCM" 13506 359 64.58
"MANYARA" "MJI WA BABATI" "BABATI MJINI" "PAULINE PHILIPO GEKUL" "CHADEMA" 6896 359 32.97
"MANYARA" "MJI WA BABATI" "BABATI MJINI" "RASHID HASSAN MGAYA AMIRI" "CUF" 94 359 0.45
"MANYARA" "MJI WA BABATI" "BABATI MJINI" "HADIJA YUSUFU SELEMANI" "UMD" 58 359 0.28
"MANYARA" "WILAYA YA BABATI" "BABATI VIJIJINI" "JITU VRAJLAL SONI" "CCM" 32777 2282 44.32
"MANYARA" "WILAYA YA BABATI" "BABATI VIJIJINI" "TARA LAWRENCE SUMBURU" "NCCR-MAGEUZI" 31635 2282 42.77
"MANYARA" "WILAYA YA BABATI" "BABATI VIJIJINI" "FRANCIS PHILIP QAMARA" "CHADEMA" 6367 2282 8.61
"MANYARA" "WILAYA YA BABATI" "BABATI VIJIJINI" "HICHEKA GODFREY NGOGOMBA" "APPT - MAENDELEO" 900 2282 1.22
"MANYARA" "WILAYA YA HANANG" "HANANG" "MARY NAGU MICHAEL" "CCM" 34338 1226 59.67
"MANYARA" "WILAYA YA HANANG" "HANANG" "ROSE KAMILI SUKUM" "CHADEMA" 21986 1226 38.2
"MANYARA" "WILAYA YA KITETO" "KITETO" "OLE NANGORO BENEDICT NGALAMA" "CCM" 25308 1106 61.87
"MANYARA" "WILAYA YA KITETO" "KITETO" "KIMESERA VICTOR PARKIMALO" "CHADEMA" 13786 1106 33.7
"MANYARA" "WILAYA YA KITETO" "KITETO" "NYERESA ALLY JUMA" "CUF" 461 1106 1.13
"MANYARA" "WILAYA YA KITETO" "KITETO" "BAKARI HAMISI SURU" "NCCR-MAGEUZI" 95 1106 0.23
"MANYARA" "WILAYA YA KITETO" "KITETO" "MASHAKA SAIDI FUNDI" "SAU" 70 1106 0.17
"MANYARA" "WILAYA YA KITETO" "KITETO" "TIDO ADINAN MKOMWA" "UMD" 41 1106 0.1
"MANYARA" "WILAYA YA KITETO" "KITETO" "KIMWAGA JONAS KELANI" "TLP" 35 1106 0.09
"MANYARA" "WILAYA YA MBULU" "MBULU" "AKUNAAY MUSTAPHA BOAY" "CHADEMA" 48428 187 63.39
"MANYARA" "WILAYA YA MBULU" "MBULU" "MARMO SANGKA PHILIP" "CCM" 27210 187 35.62
"MANYARA" "WILAYA YA MBULU" "MBULU" "AMEDEUS ELISEUS AKONAAY" "CUF" 570 187 0.75
"MANYARA" "WILAYA YA SIMANJIRO" "SIMANJIRO" "OLESENDEKA CHRISTOPHER OLONYOKIE	
                    - Unopposed" "CCM" 0 0 NA
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI" "Nyerere Vincent Josephat" "CHADEMA" 22463 492 59.62
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI" "Mathayo Vedastusi Manyinyi" "CCM" 14378 492 38.16
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI" "Wandwi Mustafa Juma" "CUF" 267 492 0.71
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI" "Chrisant Ndege Nyakitita" "DP" 52 492 0.14
"MARA" "MANISPAA YA MUSOMA" "MUSOMA MJINI" "TABU SAIDI MACHIBYA" "NCCR-MAGEUZI" 26 492 0.07
"MARA" "WILAYA YA BUNDA" "BUNDA" "WASIRA STEPHEN MASATO" "CCM" 27509 1149 66.1
"MARA" "WILAYA YA BUNDA" "BUNDA" "MAARUGU ELIAS KAJELI" "CHADEMA" 12221 1149 29.36
"MARA" "WILAYA YA BUNDA" "BUNDA" "SONGAMBELE JOSEPHINE WILEGI" "CUF" 397 1149 0.95
"MARA" "WILAYA YA BUNDA" "BUNDA" "MALAGILA ASCETIC NGWANAMAGUBU" "NLD" 342 1149 0.82
"MARA" "WILAYA YA BUNDA" "MWIBARA" "KANGI ALPHAXARD LUGOLA" "CCM" 18202 735 61.88
"MARA" "WILAYA YA BUNDA" "MWIBARA" "CHIRIKO HARUNI DAVID" "CHADEMA" 8215 735 27.93
"MARA" "WILAYA YA BUNDA" "MWIBARA" "MUTTAMWEGA TOTO MUGAYWA" "TLP" 1773 735 6.03
"MARA" "WILAYA YA BUNDA" "MWIBARA" "MAKARANGA VEDASTUS MSITA" "CUF" 316 735 1.07
"MARA" "WILAYA YA BUNDA" "MWIBARA" "LAWI CHARLES MAGESA" "NCCR-MAGEUZI" 174 735 0.59
"MARA" "WILAYA YA MUSOMA" "MUSOMA VIJIJINI" "MKONO NIMROD ELIREHEEMAH	
                    - Unopposed" "CCM" 0 0 NA
"MARA" "WILAYA YA RORYA" "RORYA" "LAMECK OKAMBO AIRO" "CCM" 45800 1451 71.26
"MARA" "WILAYA YA RORYA" "RORYA" "NDIRA OCHOLA MARTIN" "CHADEMA" 16166 1451 25.15
"MARA" "WILAYA YA RORYA" "RORYA" "JOSEPHAT KIGINA MABERY" "CUF" 611 1451 0.95
"MARA" "WILAYA YA RORYA" "RORYA" "MASHAKA SEIF ABEID" "TLP" 136 1451 0.21
"MARA" "WILAYA YA RORYA" "RORYA" "LUCAS FABIAN WARYOBA" "UDP" 110 1451 0.17
"MARA" "WILAYA YA SERENGETI" "SERENGETI" "DR.KEBWE KEBWE STEPHEN" "CCM" 27616 1475 56.03
"MARA" "WILAYA YA SERENGETI" "SERENGETI" "MARWA CHACHA RYOBA" "CHADEMA" 19594 1475 39.76
"MARA" "WILAYA YA SERENGETI" "SERENGETI" "SEBEKI MUNIKO STEPHEN" "NCCR-MAGEUZI" 600 1475 1.22
"MARA" "WILAYA YA TARIME" "TARIME" "NYANGWINE NYAMBARI CHACHAMARIBA" "CCM" 28064 2005 38.49
"MARA" "WILAYA YA TARIME" "TARIME" "WAITARA MWITA MWIKWABE" "CHADEMA" 27334 2005 37.49
"MARA" "WILAYA YA TARIME" "TARIME" "WANGWE PETER KEBA" "NCCR-MAGEUZI" 7811 2005 10.71
"MARA" "WILAYA YA TARIME" "TARIME" "MWERA CHARLES NYANGURU" "CUF" 7368 2005 10.11
"MARA" "WILAYA YA TARIME" "TARIME" "MCH. JACOB MWITA CHACHA" "UDP" 185 2005 0.25
"MARA" "WILAYA YA TARIME" "TARIME" "NYARONYO MWITA KICHEERE" "TLP" 145 2005 0.2
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "MBILINYI OSMUND JOSEPH" "CHADEMA" 49084 1441 63.2
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "MPESYA BENSON MWAILUGULA" "CCM" 25878 1441 33.32
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "MWAIHOJO PRINCE GWAMAKA" "CUF" 671 1441 0.86
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "AGGABO TWALONDAGA MWAKATOBE" "NCCR-MAGEUZI" 272 1441 0.35
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "MWAKISOLE EMMY HUDSON" "UPDP" 162 1441 0.21
"MBEYA" "JIJI LA MBEYA" "MBEYA MJINI" "ALIMU TOKOLOSI SUALI" "DP" 154 1441 0.2
"MBEYA" "WILAYA YA CHUNYA" "LUPA" "MWAMBALASWA VICTOR KILASILE" "CCM" 12202 487 55.05
"MBEYA" "WILAYA YA CHUNYA" "LUPA" "SANGA SANDE SAMSON" "TLP" 8746 487 39.46
"MBEYA" "WILAYA YA CHUNYA" "LUPA" "MTASHA GEORGE KATABI" "CHADEMA" 645 487 2.91
"MBEYA" "WILAYA YA CHUNYA" "LUPA" "MWANFUMU TIMOTI ALOYS" "CUF" 84 487 0.38
"MBEYA" "WILAYA YA CHUNYA" "SONGWE" "MULUGO PHILIPO AUGUSTINO	
                    - Unopposed" "CCM" 0 0 NA
"MBEYA" "WILAYA YA ILEJE" "ILEJE" "KIBONA NIKUSUKUMA ALIKO" "CCM" 24126 557 83.69
"MBEYA" "WILAYA YA ILEJE" "ILEJE" "HENRY RAPHAEL KAYUNI" "CHADEMA" 4146 557 14.38
"MBEYA" "WILAYA YA KYELA" "KYELA" "MWAKYEMBE HARRISON GEORGE" "CCM" 41214 921 88.76
"MBEYA" "WILAYA YA KYELA" "KYELA" "MWAMALALA EDO MAKATA" "CHADEMA" 3964 921 8.54
"MBEYA" "WILAYA YA KYELA" "KYELA" "KAZEMBE YUSUFU SAIDI" "CUF" 336 921 0.72
"MBEYA" "WILAYA YA MBARALI" "MBARALI" "KILUFI MODESTUS DICKSON" "CCM" 34869 1440 65.43
"MBEYA" "WILAYA YA MBARALI" "MBARALI" "KAZAMOYO JIDAWAYA HANG'WA" "CHADEMA" 16090 1440 30.19
"MBEYA" "WILAYA YA MBARALI" "MBARALI" "GETRUDE JACOB PWIRA" "TLP" 453 1440 0.85
"MBEYA" "WILAYA YA MBARALI" "MBARALI" "MWATAGA CARLO DAMASI" "UDP" 228 1440 0.43
"MBEYA" "WILAYA YA MBARALI" "MBARALI" "MAHENGE BOSCO DAUDI" "UPDP" 210 1440 0.39
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI" "MWANJALE NDAGA LUCKSON" "CCM" 39701 2387 58.66
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI" "SHITAMBALA SAMBWEE MWALYEGO" "CHADEMA" 24467 2387 36.15
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI" "MWALYEGO SAMSON MPALWA" "CUF" 647 2387 0.96
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI" "MBOMA MWANSIYA NDELLE" "UDP" 239 2387 0.35
"MBEYA" "WILAYA YA MBEYA" "MBEYA VIJIJINI" "AMOSI ANYISILE MWAMBAGI" "DP" 238 2387 0.35
"MBEYA" "WILAYA YA MBOZI" "MBOZI MAGHARIBI" "SILINDE DAVID ERNEST" "CHADEMA" 20835 1099 49.19
"MBEYA" "WILAYA YA MBOZI" "MBOZI MAGHARIBI" "SIYAME DR. LUKA JELAS" "CCM" 20203 1099 47.7
"MBEYA" "WILAYA YA MBOZI" "MBOZI MAGHARIBI" "ASUKILE KASABUNI KABANGO" "CUF" 220 1099 0.52
"MBEYA" "WILAYA YA MBOZI" "MBOZI MASHARIKI" "GODFREY WESTON ZAMBI" "CCM" 49095 1539 58.82
"MBEYA" "WILAYA YA MBOZI" "MBOZI MASHARIKI" "MWAMPAMBA MTELA ALLAMU" "CHADEMA" 31997 1539 38.33
"MBEYA" "WILAYA YA MBOZI" "MBOZI MASHARIKI" "NKUNYUNTILA WESTON SIWALE" "CUF" 839 1539 1.01
"MBEYA" "WILAYA YA RUNGWE" "RUNGWE MAGHARIBI" "PROF.DAVID OMELI MWAKYUSA	
                    - Unopposed" "CCM" 0 0 NA
"MBEYA" "WILAYA YA RUNGWE" "RUNGWE MASHARIKI" "MWANDOSYA MARK JAMES	
                    - Unopposed" "CCM" 0 0 NA
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU" "JUMA SURURU JUMA" "CCM" 4410 230 50.5
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU" "RASHID SOUD KHAMIS" "CUF" 3863 230 44.24
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU" "BABYUU YUSSUF KHATIB" "CHADEMA" 161 230 1.84
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU" "SITI ABDI-SALAMI ALI" "DP" 39 230 0.45
"MJINI MAGHARIBI" "MAGHARIBI" "BUBUBU" "AMINA MOH'D HABIBU" "NCCR-MAGEUZI" 29 230 0.33
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "ABDALLAH SHARIA AMEIR" "CCM" 6287 329 62.6
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "HEMED SAID NASSOR" "CUF" 3210 329 31.96
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "MMANGA OTHMAN SALUM" "MAKIN" 65 329 0.65
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "ALI MAULID NGWALI" "TADEA" 59 329 0.59
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "MTUMWA AME KHAMIS" "NCCR-MAGEUZI" 52 329 0.52
"MJINI MAGHARIBI" "MAGHARIBI" "DIMANI" "MGENI KHAMIS KHASSAN" "NRA" 41 329 0.41
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE" "SYLVESTER MASSELE MABUMBA" "CCM" 3871 296 55.92
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE" "MSABAHA KHAMIS MZEE" "CUF" 2540 296 36.69
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE" "MAKUNGU SULEIMAN MAKUNGU" "AFP" 107 296 1.55
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE" "OMAR MOH'D SAID" "TADEA" 57 296 0.82
"MJINI MAGHARIBI" "MAGHARIBI" "DOLE" "RAJAB HAJI BAKARY" "NCCR-MAGEUZI" 52 296 0.75
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI" "SAID MUSSA ZUBEIR" "CCM" 6224 232 65.51
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI" "KHATIB HAJI ALI" "CUF" 2534 232 26.67
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI" "AMEIR HASSAN AMEIR" "MAKIN" 320 232 3.37
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI" "RADHIA MAMBO MUSSA" "TADEA" 122 232 1.28
"MJINI MAGHARIBI" "MAGHARIBI" "FUONI" "PANDU HAJI PANDU" "TLP" 69 232 0.73
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI" "WARIDE BAKARI JABU" "CCM" 2928 76 70.79
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI" "MOHAMED NASSOR MOHAMED" "CUF" 1065 76 25.75
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI" "JUMANNE SHABANI MAGAZI" "CHADEMA" 44 76 1.06
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI" "UMMY KHAMIS JUMA" "TADEA" 23 76 0.56
"MJINI MAGHARIBI" "MAGHARIBI" "KIEMBE SAMAKI" "JOKHA ABDALLAH SAID" "UMD" 0 76 NA
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "HAMADI ALI HAMADI" "CUF" 4033 63 54.1
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "ISSA ABEID MUSSA" "CCM" 3264 63 43.78
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "JUMA KHATIBU HAJI" "NCCR-MAGEUZI" 45 63 0.6
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "MAKAME HAMADI MBWANA" "TADEA" 17 63 0.23
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "KHAMIS HASSAN JUMA" "NRA" 16 63 0.21
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "BAHARIA MUHAMMED SHAAME" "UMD" 11 63 0.15
"MJINI MAGHARIBI" "MAGHARIBI" "MAGOGONI" "KAZIJA SIMAI HAJI" "SAU" 6 63 0.08
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI" "NASSIB SULEIMAN OMAR" "CCM" 3111 221 55.03
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI" "HASSAN OMAR ISSA" "CUF" 1993 221 35.26
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI" "DHIFAA MOHAMMED BAKAR" "CHADEMA" 221 221 3.91
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI" "SEIF ALLY HAJI" "TADEA" 87 221 1.54
"MJINI MAGHARIBI" "MAGHARIBI" "MFENESINI" "ISSA SALUM ALI" "UPDP" 20 221 0.35
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "FAKI HAJI MAKAME" "CUF" 4097 84 55.13
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "USSI AMME PANDU" "CCM" 2738 84 36.84
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "YUDITHE TEOPHILY MCHAKI" "CHADEMA" 417 84 5.61
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "HAJI ALI NUHU" "DP" 40 84 0.54
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "JUMA MKINDWI DUNIA" "NCCR-MAGEUZI" 18 84 0.24
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "SAUMU KHAMIS SAID" "TADEA" 9 84 0.12
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "JUMA TALIB ALI" "UMD" 9 84 0.12
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "AZIZI HAMADI KOMBO" "TLP" 8 84 0.11
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "MUSSA BAKARI HAJI" "UPDP" 7 84 0.09
"MJINI MAGHARIBI" "MAGHARIBI" "MTONI" "MWALIM SILIMA SHEHA" "UDP" 5 84 0.07
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "SEREWEJI HAJI JUMA" "CCM" 2975 61 58.59
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "USSI JUMA HASSAN" "CUF" 1971 61 38.81
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "AZIZ MOHD ALI" "MAKIN" 28 61 0.55
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "TATU MABROUK HAJI" "APPT - MAENDELEO" 12 61 0.24
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "SALUM MJAKA BABARI" "TADEA" 10 61 0.2
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "ALAWI ALI ALAWI" "UPDP" 9 61 0.18
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "FAKI SALUM ABDALLA" "NCCR-MAGEUZI" 7 61 0.14
"MJINI MAGHARIBI" "MAGHARIBI" "MWANAKWEREKWE" "VUAI HASSAN KIDOGO" "TLP" 5 61 0.1
